gid,id_punto,fkid,data,codice_campagna,secco,prodotto,spessore_prodotto,quota_falda,soggiacenza,quota_ref,riferimento_soggiacenza,fonte,note
206,PO0160280R0003,4,2017-09-01,,no,,,175.03683333333333,,192.624,,PTUA2022,
207,PO0160280R0003,4,2017-10-01,,no,,,174.59964516129034,,192.624,,PTUA2022,
208,PO0160280R0003,4,2017-11-01,,no,,,174.0481666666667,,192.624,,PTUA2022,
209,PO0160280R0003,4,2017-12-01,,no,,,173.85762903225807,,192.624,,PTUA2022,
210,PO0160280R0003,4,2018-01-01,,no,,,174.00262903225808,,192.624,,PTUA2022,
211,PO0160280R0003,4,2018-02-01,,no,,,173.91417857142858,,192.624,,PTUA2022,
212,PO0160280R0003,4,2018-03-01,,no,,,174.1588387096774,,192.624,,PTUA2022,
213,PO0160280R0003,4,2018-04-01,,no,,,175.56733333333332,,192.624,,PTUA2022,
214,PO0160280R0003,4,2018-05-01,,no,,,175.79682258064517,,192.624,,PTUA2022,
215,PO0160280R0003,4,2018-06-01,,no,,,175.56766666666667,,192.624,,PTUA2022,
216,PO0160280R0003,4,2018-07-01,,no,,,176.19158064516128,,192.624,,PTUA2022,
217,PO0160280R0003,4,2018-08-01,,no,,,176.09520967741935,,192.624,,PTUA2022,
218,PO0160280R0003,4,2018-09-01,,no,,,175.33933333333334,,192.624,,PTUA2022,
219,PO0160280R0003,4,2018-10-01,,no,,,174.37585483870967,,192.624,,PTUA2022,
220,PO0160280R0003,4,2018-11-01,,no,,,175.54316666666665,,192.624,,PTUA2022,
221,PO0160280R0003,4,2018-12-01,,no,,,176.13617391304348,,192.624,,PTUA2022,
222,PO0160280R0003,4,2019-01-01,,no,,,174.67562601626014,,192.624,,PTUA2022,
223,PO0160280R0003,4,2019-02-01,,no,,,174.2741785714286,,192.624,,PTUA2022,
224,PO0160280R0003,4,2019-03-01,,no,,,174.36577419354836,,192.624,,PTUA2022,
225,PO0160280R0003,4,2019-04-01,,no,,,174.58024999999998,,192.624,,PTUA2022,
226,PO0160280R0003,4,2019-05-01,,no,,,175.4339193548387,,192.624,,PTUA2022,
227,PO0160280R0003,4,2019-06-01,,no,,,176.03941666666665,,192.624,,PTUA2022,
228,PO0160280R0003,4,2019-07-01,,no,,,175.8764193548387,,192.624,,PTUA2022,
229,PO0160280R0003,4,2019-08-01,,no,,,175.73058536585364,,192.624,,PTUA2022,
230,PO0160280R0003,4,2019-09-01,,no,,,175.594,,192.624,,PTUA2022,
231,PO0160280R0003,4,2019-12-01,,no,,,177.404,,192.624,,PTUA2022,
232,PO0160280R0003,4,2020-01-01,,no,,,176.903918699187,,192.624,,PTUA2022,
233,PO0160280R0003,4,2020-02-01,,no,,,175.36994827586207,,192.624,,PTUA2022,
234,PO0160280R0003,4,2020-03-01,,no,,,174.86851612903226,,192.624,,PTUA2022,
235,PO0160280R0003,4,2020-04-01,,no,,,174.64133333333334,,192.624,,PTUA2022,
236,PO0160280R0003,4,2020-05-01,,no,,,174.90198387096777,,192.624,,PTUA2022,
237,PO0160280R0003,4,2020-06-01,,no,,,175.59291666666667,,192.624,,PTUA2022,
238,PO0160280R0003,4,2020-07-01,,no,,,176.75456451612902,,192.624,,PTUA2022,
239,PO0160280R0003,4,2020-08-01,,no,,,176.40182258064516,,192.624,,PTUA2022,
240,PO0160280R0003,4,2020-09-01,,no,,,175.60991666666666,,192.624,,PTUA2022,
241,PO0160280R0003,4,2020-10-01,,no,,,175.49198387096772,,192.624,,PTUA2022,
242,PO0160280R0003,4,2020-11-01,,no,,,175.77891666666667,,192.624,,PTUA2022,
243,PO0160280R0003,4,2020-12-01,,no,,,175.86117741935482,,192.624,,PTUA2022,
244,PO0160280R0003,4,2021-01-01,,no,,,176.75182258064518,,192.624,,PTUA2022,
245,PO0160280R0003,4,2021-02-01,,no,,,176.62489285714284,,192.624,,PTUA2022,
246,PO0160280R0003,4,2021-03-01,,no,,,175.79512903225805,,192.624,,PTUA2022,
247,PO0160280R0003,4,2021-04-01,,no,,,175.05725,,192.624,,PTUA2022,
248,PO0160280R0003,4,2021-05-01,,no,,,174.9651111111111,,192.624,,PTUA2022,
249,PO016042NU0001,6,2012-05-01,,no,,,198.05,,232.0,,PTUA2022,
250,PO016042NU0001,6,2012-06-01,,no,,,197.8,,232.0,,PTUA2022,
251,PO016042NU0001,6,2012-07-01,,no,,,197.1,,232.0,,PTUA2022,
252,PO016042NU0001,6,2012-08-01,,no,,,197.21,,232.0,,PTUA2022,
253,PO016042NU0001,6,2012-09-01,,no,,,196.2,,232.0,,PTUA2022,
254,PO016042NU0001,6,2012-10-01,,no,,,197.3,,232.0,,PTUA2022,
255,PO016042NU0001,6,2012-11-01,,no,,,197.69,,232.0,,PTUA2022,
256,PO016042NU0001,6,2012-12-01,,no,,,197.4,,232.0,,PTUA2022,
257,PO016042NU0001,6,2013-01-01,,no,,,197.73,,232.0,,PTUA2022,
258,PO016042NU0001,6,2013-02-01,,no,,,198.13,,232.0,,PTUA2022,
259,PO016042NU0001,6,2013-03-01,,no,,,198.31,,232.0,,PTUA2022,
260,PO016042NU0001,6,2013-04-01,,no,,,198.27,,232.0,,PTUA2022,
261,PO016042NU0001,6,2013-05-01,,no,,,198.7,,232.0,,PTUA2022,
262,PO016042NU0001,6,2013-06-01,,no,,,196.07,,232.0,,PTUA2022,
263,PO016042NU0001,6,2013-07-01,,no,,,195.44,,232.0,,PTUA2022,
264,PO016042NU0001,6,2013-08-01,,no,,,197.55,,232.0,,PTUA2022,
265,PO016042NU0001,6,2013-09-01,,no,,,197.68,,232.0,,PTUA2022,
266,PO016042NU0001,6,2013-10-01,,no,,,198.15,,232.0,,PTUA2022,
267,PO016042NU0001,6,2013-11-01,,no,,,198.21,,232.0,,PTUA2022,
268,PO016042NU0001,6,2013-12-01,,no,,,198.3,,232.0,,PTUA2022,
269,PO016042NU0001,6,2014-01-01,,no,,,198.83,,232.0,,PTUA2022,
270,PO016042NU0001,6,2014-02-01,,no,,,198.93,,232.0,,PTUA2022,
271,PO016042NU0001,6,2014-03-01,,no,,,198.97,,232.0,,PTUA2022,
272,PO016042NU0001,6,2014-04-01,,no,,,199.16,,232.0,,PTUA2022,
273,PO016042NU0001,6,2014-05-01,,no,,,199.54,,232.0,,PTUA2022,
274,PO016042NU0001,6,2014-06-01,,no,,,198.84,,232.0,,PTUA2022,
275,PO016042NU0001,6,2014-07-01,,no,,,199.02,,232.0,,PTUA2022,
276,PO016042NU0001,6,2014-08-01,,no,,,199.08,,232.0,,PTUA2022,
277,PO016042NU0001,6,2014-09-01,,no,,,199.08,,232.0,,PTUA2022,
278,PO016042NU0001,6,2014-10-01,,no,,,199.16,,232.0,,PTUA2022,
279,PO016042NU0001,6,2014-11-01,,no,,,199.31,,232.0,,PTUA2022,
280,PO016042NU0001,6,2014-12-01,,no,,,199.55,,232.0,,PTUA2022,
281,PO016042NU0001,6,2015-01-01,,no,,,199.87,,232.0,,PTUA2022,
282,PO016042NU0001,6,2015-02-01,,no,,,199.81,,232.0,,PTUA2022,
283,PO016042NU0001,6,2015-03-01,,no,,,199.99,,232.0,,PTUA2022,
284,PO016042NU0001,6,2015-04-01,,no,,,199.63,,232.0,,PTUA2022,
285,PO016042NU0001,6,2015-05-01,,no,,,199.79,,232.0,,PTUA2022,
286,PO016042NU0001,6,2015-06-01,,no,,,199.69,,232.0,,PTUA2022,
287,PO016042NU0001,6,2015-07-01,,no,,,199.18,,232.0,,PTUA2022,
288,PO016042NU0001,6,2015-08-01,,no,,,198.66,,232.0,,PTUA2022,
289,PO016042NU0001,6,2015-09-01,,no,,,199.14,,232.0,,PTUA2022,
290,PO016042NU0001,6,2015-10-01,,no,,,199.02,,232.0,,PTUA2022,
291,PO016042NU0001,6,2015-11-01,,no,,,199.24,,232.0,,PTUA2022,
292,PO016042NU0001,6,2015-12-01,,no,,,199.16,,232.0,,PTUA2022,
293,PO016042NU0001,6,2016-01-01,,no,,,199.04,,232.0,,PTUA2022,
294,PO016042NU0001,6,2016-02-01,,no,,,198.96,,232.0,,PTUA2022,
295,PO016042NU0001,6,2016-03-01,,no,,,199.09,,232.0,,PTUA2022,
296,PO016042NU0001,6,2016-04-01,,no,,,199.1,,232.0,,PTUA2022,
297,PO016042NU0001,6,2016-05-01,,no,,,198.83,,232.0,,PTUA2022,
298,PO016042NU0001,6,2016-06-01,,no,,,198.95,,232.0,,PTUA2022,
299,PO016042NU0001,6,2016-07-01,,no,,,198.55,,232.0,,PTUA2022,
300,PO016042NU0001,6,2016-08-01,,no,,,198.73,,232.0,,PTUA2022,
301,PO016042NU0001,6,2016-09-01,,no,,,198.67,,232.0,,PTUA2022,
302,PO016042NU0001,6,2016-10-01,,no,,,198.59,,232.0,,PTUA2022,
303,PO016042NU0001,6,2016-11-01,,no,,,198.66,,232.0,,PTUA2022,
304,PO016042NU0001,6,2016-12-01,,no,,,198.66,,232.0,,PTUA2022,
305,PO016042NU0001,6,2017-01-01,,no,,,198.85,,232.0,,PTUA2022,
306,PO016042NU0001,6,2017-02-01,,no,,,198.53,,232.0,,PTUA2022,
307,PO016042NU0001,6,2017-03-01,,no,,,198.53,,232.0,,PTUA2022,
308,PO016042NU0001,6,2017-04-01,,no,,,196.5,,232.0,,PTUA2022,
309,PO016042NU0001,6,2017-05-01,,no,,,196.49,,232.0,,PTUA2022,
310,PO016042NU0001,6,2017-06-01,,no,,,197.97,,232.0,,PTUA2022,
311,PO016042NU0001,6,2017-07-01,,no,,,198.11,,232.0,,PTUA2022,
312,PO016042NU0001,6,2017-08-01,,no,,,197.1678947368421,,232.0,,PTUA2022,
