CODICETOOL,PROV,COMUNE,DENOMINAZIONE,CODICE,LOCALITA,X,Y,Q,NOTE,STRAT.,FALDA,INZ_FLT,FIN_FLT,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A,FLT3_DA,FLT3_A,FLT4_DA,FLT4_A,FLT5_DA,FLT5_A,FLT6_DA,FLT6_A,FLT7_DA,FLT7_A,FLT8_DA,FLT8_A,FLT9_DA,FLT9_A,FLT10_DA,FLT10_A,FLT11_DA,FLT11_A,FLT12_DA,FLT12_A,L.S. ,L.D. ,Q.1,ANNO,PROFONDITA' COLONNA,SETTORE,ORIGINE
CASSOLNOVO41,PV,CASSOLNOVO,4,41,via Tornura (pozzo vecchio),1484810,5023820,121,,X,2,88.5,96.5,88.5,96.5,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,PTUA2003
CASTEL D'ARIO26,MN,CASTEL D'ARIO,,26,v.le delle Industrie - Roppi,1655200,5005160,21,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GARLASCO26,PV,GARLASCO,3,26,via Bozzola - Palazzeto,1494065,5004980,90.8,,X,1,28,51,28,38,41,51,,,,,,,,,,,,,,,,,,,,,,,,,57,,PTUA2003
PAVONE DEL MELLA26,BS,PAVONE DEL MELLA,ASM,26,VIA GIOVANNI XXIII,1594740,5016924,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CASTEL D'ARIO27,MN,CASTEL D'ARIO,,27,v.le delle Industrie - Roppi,1655220,5005120,21,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
VOGHERA27,PV,VOGHERA,1,27,via Volturno,1501045,4981950,98.4,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CASTELLUCCHIO31,MN,CASTELLUCCHIO,,31,vai Matteotti 23,1629710,5000790,27.79999924,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PALESTRO31,PV,PALESTRO,1,31,presso Municipio,1463525,5016650,120.5,,X,3,172,197,172,197,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,PTUA2003
REZZATO31,BS,REZZATO,ASM,31,via Gardesana - Treponti,1604156,5040364,148,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CASTELNUOVO BOCCA D'ADDA0980130001,,CASTELNUOVO BOCCA D'ADDA,,980130001,,1568202,4995450,36.1,via Cairoli serb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CASTIGLIONE DELLE STIVIERE34,MN,CASTIGLIONE DELLE STIVIERE,,34,CASTIGLIONE S.C.R.L.,1615700,5026120,82.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
