,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1
67,SO,MESE,PO0140430U0001,2010-07-26,269.0,soggiacenza statica,18.4,250.6,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
68,SO,MESE,PO0140430U0001,2010-08-26,269.0,soggiacenza statica,19.12,249.88,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
69,SO,MESE,PO0140430U0001,2010-09-22,269.0,soggiacenza statica,19.63,249.37,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
70,SO,MESE,PO0140430U0001,2010-10-27,269.0,soggiacenza statica,21.4,247.6,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
71,SO,MESE,PO0140430U0001,2010-11-18,269.0,soggiacenza statica,21.17,247.83,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
72,SO,MESE,PO0140430U0001,2010-12-23,269.0,soggiacenza statica,20.7,248.3,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
73,SO,MESE,PO0140430U0001,2011-01-24,269.0,soggiacenza statica,20.64,248.36,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
74,SO,MESE,PO0140430U0001,2011-02-22,269.0,soggiacenza statica,22.14,246.86,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
75,SO,MESE,PO0140430U0001,2011-03-22,269.0,soggiacenza statica,23.13,245.87,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
76,SO,MESE,PO0140430U0001,2011-04-26,269.0,soggiacenza statica,23.61,245.39,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
77,SO,MESE,PO0140430U0001,2011-05-26,269.0,soggiacenza statica,23.57,245.43,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
78,SO,MESE,PO0140430U0001,2011-06-30,269.0,soggiacenza statica,21.18,247.82,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
79,SO,MESE,PO0140430U0001,2011-07-21,269.0,soggiacenza statica,19.22,249.78,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
80,SO,MESE,PO0140430U0001,2011-08-24,269.0,soggiacenza statica,19.05,249.95,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
81,SO,MESE,PO0140430U0001,2011-09-22,269.0,soggiacenza statica,18.25,250.75,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
82,SO,MESE,PO0140430U0001,2011-10-25,269.0,soggiacenza statica,20.05,248.95,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
83,SO,MESE,PO0140430U0001,2011-11-07,269.0,soggiacenza statica,20.68,248.32,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
84,SO,MESE,PO0140430U0001,2011-12-20,269.0,soggiacenza statica,21.18,247.82,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
85,SO,MESE,PO0140430U0001,2012-01-12,269.0,soggiacenza statica,22.6,246.4,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
86,SO,MESE,PO0140430U0001,2012-02-07,269.0,soggiacenza statica,23.86,245.14,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
87,SO,MESE,PO0140430U0001,2012-03-12,269.0,soggiacenza statica,24.57,244.43,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
88,SO,MESE,PO0140430U0001,2012-04-11,269.0,soggiacenza statica,24.9,244.1,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
89,SO,MESE,PO0140430U0001,2012-05-02,269.0,soggiacenza statica,22.51,246.49,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
90,SO,MESE,PO0140430U0001,2012-06-13,269.0,soggiacenza statica,19.52,249.48,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
91,SO,MESE,PO0140430U0001,2012-07-05,269.0,soggiacenza statica,19.5,249.5,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
92,SO,MESE,PO0140430U0001,2012-09-06,269.0,soggiacenza statica,21.95,247.05,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
93,SO,MESE,PO0140430U0001,2012-10-11,269.0,soggiacenza statica,19.9,249.1,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
94,SO,MESE,PO0140430U0001,2012-11-13,269.0,soggiacenza statica,17.32,251.68,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
95,SO,MESE,PO0140430U0001,2012-12-18,269.0,soggiacenza statica,17.12,251.88,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
96,SO,MESE,PO0140430U0001,2013-01-28,269.0,soggiacenza statica,19.82,249.18,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
97,SO,MESE,PO0140430U0001,2013-02-26,269.0,soggiacenza statica,21.0,248.0,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
98,SO,MESE,PO0140430U0001,2013-03-18,269.0,soggiacenza statica,20.9,248.1,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
99,SO,MESE,PO0140430U0001,2013-04-03,269.0,soggiacenza statica,20.99,248.01,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
100,SO,MESE,PO0140430U0001,2013-05-21,269.0,soggiacenza statica,13.7,255.3,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
101,SO,MESE,PO0140430U0001,2013-06-24,269.0,soggiacenza statica,14.48,254.52,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
102,SO,MESE,PO0140430U0001,2013-07-22,269.0,soggiacenza statica,15.4,253.6,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
103,SO,MESE,PO0140430U0001,2013-08-26,269.0,soggiacenza statica,17.66,251.34,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
104,SO,MESE,PO0140430U0001,2013-09-23,269.0,soggiacenza statica,18.62,250.38,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
105,SO,MESE,PO0140430U0001,2013-10-28,269.0,soggiacenza statica,17.78,251.22,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
106,SO,MESE,PO0140430U0001,2013-11-26,269.0,soggiacenza statica,16.05,252.95,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
107,SO,MESE,PO0140430U0001,2013-12-16,269.0,soggiacenza statica,17.45,251.55,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
108,SO,MESE,PO0140430U0001,2014-01-13,269.0,soggiacenza statica,16.73,252.27,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
109,SO,MESE,PO0140430U0001,2014-02-10,269.0,soggiacenza statica,16.92,252.08,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
110,SO,MESE,PO0140430U0001,2014-03-10,269.0,soggiacenza statica,17.93,251.07,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
111,SO,MESE,PO0140430U0001,2014-04-01,269.0,soggiacenza statica,18.5,250.5,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
112,SO,MESE,PO0140430U0001,2014-05-06,269.0,soggiacenza statica,18.85,250.15,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
113,SO,MESE,PO0140430U0001,2014-06-09,269.0,soggiacenza statica,17.3,251.7,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
114,SO,MESE,PO0140430U0001,2014-07-17,269.0,soggiacenza statica,15.68,253.32,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
115,SO,MESE,PO0140430U0001,2014-08-25,269.0,soggiacenza statica,14.21,254.79,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
116,SO,MESE,PO0140430U0001,2014-09-08,269.0,soggiacenza statica,15.07,253.93,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
117,SO,MESE,PO0140430U0001,2014-10-13,269.0,soggiacenza statica,17.1,251.9,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
118,SO,MESE,PO0140430U0001,2014-11-10,269.0,soggiacenza statica,14.79,254.21,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
119,SO,MESE,PO0140430U0001,2014-12-09,269.0,soggiacenza statica,14.22,254.78,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
120,SO,MESE,PO0140430U0001,2015-02-16,269.0,soggiacenza statica,20.23,248.77,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
121,SO,MESE,PO0140430U0001,2015-03-17,269.0,soggiacenza statica,21.1,247.9,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
122,SO,MESE,PO0140430U0001,2015-04-24,269.0,soggiacenza statica,21.0,248.0,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
123,SO,MESE,PO0140430U0001,2015-05-12,269.0,soggiacenza statica,19.92,249.08,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
124,SO,MESE,PO0140430U0001,2015-06-29,269.0,soggiacenza statica,18.71,250.29,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
125,SO,MESE,PO0140430U0001,2015-07-27,269.0,soggiacenza statica,19.31,249.69,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
126,SO,MESE,PO0140430U0001,2015-08-24,269.0,soggiacenza statica,19.81,249.19,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
127,SO,MESE,PO0140430U0001,2015-09-16,269.0,soggiacenza statica,18.82,250.18,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
128,SO,MESE,PO0140430U0001,2015-10-26,269.0,soggiacenza statica,17.92,251.08,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
129,SO,MESE,PO0140430U0001,2015-11-16,269.0,soggiacenza statica,19.2,249.8,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
130,SO,MESE,PO0140430U0001,2015-12-02,269.0,soggiacenza statica,20.36,248.64,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
131,SO,MESE,PO0140430U0001,2016-01-07,269.0,soggiacenza statica,22.48,246.52,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
