,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_PIEZO,3Q_PIEZO,INT_Q_PIEZO,INF,SUP,OUTLIER_PIEZO,1Q_SOGG,3Q_SOGG,Unnamed: 16,Etichette di riga,1Q_PIEZO.1,3Q_PIEZO.1,1Q_SOGG.1,3Q_SOGG.1,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
65,BG,BERGAMO,PO0160240R0296,2016-06-24,232.0,soggiacenza statica,49.77,182.23,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
66,BG,BERGAMO,PO0160240R0296,2016-07-15,232.0,soggiacenza statica,48.82,183.18,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
67,BG,BERGAMO,PO0160240R0296,2016-08-03,232.0,soggiacenza statica,48.19,183.81,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
68,BG,BERGAMO,PO0160240R0296,2016-09-02,232.0,soggiacenza statica,49.11,182.89,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
69,BG,BERGAMO,PO0160240R0296,2016-10-03,232.0,soggiacenza statica,50.43,181.57,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
70,BG,BERGAMO,PO0160240R0296,2016-11-02,232.0,soggiacenza statica,51.17,180.83,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
71,BG,BERGAMO,PO0160240R0296,2016-12-02,232.0,soggiacenza statica,51.45,180.55,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
72,BG,BERGAMO,PO0160240R0296,2017-01-13,232.0,soggiacenza statica,55.42,176.58,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
73,BG,BERGAMO,PO0160240R0296,2017-02-10,232.0,soggiacenza statica,54.88,177.12,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
74,BG,BERGAMO,PO0160240R0296,2017-03-01,232.0,soggiacenza statica,56.7,175.3,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
75,BG,BERGAMO,PO0160240R0296,2017-04-07,232.0,soggiacenza statica,56.98,175.02,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025,OUTLIER,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
76,BG,BERGAMO,PO0160240R0296,2017-05-23,232.0,soggiacenza statica,51.46,180.54,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
77,BG,BERGAMO,PO0160240R0296,2017-06-19,232.0,soggiacenza statica,51.07,180.93,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
78,BG,BERGAMO,PO0160240R0296,2017-07-17,232.0,soggiacenza statica,50.0,182.0,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
