,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
46,PV,ALBONESE,PO018003NR0009,2020-10-28,113.49,soggiacenza statica,2.0,111.49,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PV,CASSOLNOVO,PO0180350U0002,2014-05-28,117.58,soggiacenza statica,5.5,112.08,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PV,CASSOLNOVO,PO0180350U0002,2014-10-22,117.58,soggiacenza statica,6.4,111.18,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PV,CASSOLNOVO,PO0180350U0002,2015-05-15,117.58,soggiacenza statica,6.35,111.23,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PV,CASSOLNOVO,PO0180350U0002,2015-07-21,117.58,soggiacenza statica,4.28,113.3,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PV,CASSOLNOVO,PO0180350U0002,2015-11-19,117.58,soggiacenza statica,7.61,109.97,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PV,CASSOLNOVO,PO0180350U0002,2016-02-16,117.58,soggiacenza statica,7.73,109.85,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PV,CASSOLNOVO,PO0180350U0002,2016-05-30,117.58,soggiacenza statica,6.33,111.25,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PV,CASSOLNOVO,PO0180350U0002,2016-08-16,117.58,soggiacenza statica,5.85,111.73,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PV,CASSOLNOVO,PO0180350U0002,2016-11-21,117.58,soggiacenza statica,7.45,110.13,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
