,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
71,PV,CASSOLNOVO,PO018035NU0001,2009-08-28,120.038,soggiacenza statica,13.34,106.698,14.0,15.112499999999999,104.9255,106.038,1.1124999999999972,103.25675000000001,107.70675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PV,CASSOLNOVO,PO018035NU0001,2009-11-16,120.038,soggiacenza statica,14.13,105.908,14.0,15.112499999999999,104.9255,106.038,1.1124999999999972,103.25675000000001,107.70675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PV,CASSOLNOVO,PO018035NU0001,2010-02-17,120.038,soggiacenza statica,15.32,104.718,14.0,15.112499999999999,104.9255,106.038,1.1124999999999972,103.25675000000001,107.70675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PV,CASSOLNOVO,PO018035NU0001,2010-04-22,120.038,soggiacenza statica,15.4,104.638,14.0,15.112499999999999,104.9255,106.038,1.1124999999999972,103.25675000000001,107.70675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PV,CASSOLNOVO,PO018035NU0001,2010-05-24,120.038,soggiacenza statica,14.69,105.348,14.0,15.112499999999999,104.9255,106.038,1.1124999999999972,103.25675000000001,107.70675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PV,CASSOLNOVO,PO018035NU0001,2010-08-13,120.038,soggiacenza statica,13.4,106.638,14.0,15.112499999999999,104.9255,106.038,1.1124999999999972,103.25675000000001,107.70675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PV,CASSOLNOVO,PO018035NU0001,2010-10-21,120.038,soggiacenza statica,14.48,105.558,14.0,15.112499999999999,104.9255,106.038,1.1124999999999972,103.25675000000001,107.70675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PV,CASSOLNOVO,PO018035NU0001,2011-02-07,120.038,soggiacenza statica,15.0,105.038,14.0,15.112499999999999,104.9255,106.038,1.1124999999999972,103.25675000000001,107.70675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PV,CASSOLNOVO,PO018035NU0001,2011-05-17,120.038,soggiacenza statica,14.62,105.418,14.0,15.112499999999999,104.9255,106.038,1.1124999999999972,103.25675000000001,107.70675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PV,CASSOLNOVO,PO018035NU0001,2011-08-25,120.038,soggiacenza statica,15.3,104.738,14.0,15.112499999999999,104.9255,106.038,1.1124999999999972,103.25675000000001,107.70675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
