,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_PIEZO,3Q_PIEZO,INT_Q_PIEZO,INF,SUP,OUTLIER_PIEZO,1Q_SOGG,3Q_SOGG,Unnamed: 16,Unnamed: 17,Etichette di riga,1Q_PIEZO.1,3Q_PIEZO.1,1Q_SOGG.1,3Q_SOGG.1,Unnamed: 23,Unnamed: 24,Etichette di colonna,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
41,BG,ARCENE,PO0160110U0005,2016-03-18,156.265,soggiacenza statica,10.06,146.205,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,BG,ARCENE,PO0160110U0005,2016-04-20,156.265,soggiacenza statica,10.8,145.465,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,BG,ARCENE,PO0160110U0005,2016-05-24,156.265,soggiacenza statica,10.19,146.075,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,BG,ARCENE,PO0160110U0005,2016-06-29,156.265,soggiacenza statica,7.3,148.965,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,BG,ARCENE,PO0160110U0005,2016-07-15,156.265,soggiacenza statica,5.62,150.645,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,BG,ARCENE,PO0160110U0005,2016-08-12,156.265,soggiacenza statica,5.2,151.065,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,BG,ARCENE,PO0160110U0005,2016-09-19,156.265,soggiacenza statica,5.45,150.815,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,BG,ARCENE,PO0160110U0005,2016-10-14,156.265,soggiacenza statica,5.23,151.035,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,BG,ARCENE,PO0160110U0005,2016-11-11,156.265,soggiacenza statica,5.43,150.835,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,BG,ARCENE,PO0160110U0005,2016-12-15,156.265,soggiacenza statica,5.93,150.335,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,BG,ARCENE,PO0160110U0005,2017-01-20,156.265,soggiacenza statica,7.33,148.935,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,BG,ARCENE,PO0160110U0005,2017-02-17,156.265,soggiacenza statica,8.03,148.235,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,BG,ARCENE,PO0160110U0005,2017-03-31,156.265,soggiacenza statica,9.64,146.625,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,BG,ARCENE,PO0160110U0005,2017-04-28,156.265,soggiacenza statica,10.13,146.135,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,BG,ARCENE,PO0160110U0005,2017-05-25,156.265,soggiacenza statica,9.64,146.625,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,BG,ARCENE,PO0160110U0005,2017-06-23,156.265,soggiacenza statica,8.32,147.945,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,BG,ARCENE,PO0160110U0005,2017-07-25,156.265,soggiacenza statica,5.22,151.045,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
