,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_PIEZO,3Q_PIEZO,INT_Q_PIEZO,INF,SUP,OUTLIER_PIEZO,1Q_SOGG,3Q_SOGG,Etichette di riga,1Q_PIEZO.1,3Q_PIEZO.1,1Q_SOGG.1,3Q_SOGG.1
79,BS,PISOGNE,PO0171430RC548,2014-11-04,190.26,soggiacenza statica,2.27,187.99,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
80,BS,PISOGNE,PO0171430RC548,2014-12-19,190.26,soggiacenza statica,2.1,188.16,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
81,BS,PISOGNE,PO0171430RC548,2015-01-15,190.26,soggiacenza statica,2.51,187.75,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
82,BS,PISOGNE,PO0171430RC548,2015-02-11,190.26,soggiacenza statica,2.43,187.83,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
83,BS,PISOGNE,PO0171430RC548,2015-03-06,190.26,soggiacenza statica,2.55,187.71,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
84,BS,PISOGNE,PO0171430RC548,2015-04-11,190.26,soggiacenza statica,2.65,187.61,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
85,BS,PISOGNE,PO0171430RC548,2015-05-11,190.26,soggiacenza statica,2.48,187.78,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
86,BS,PISOGNE,PO0171430RC548,2015-06-24,190.26,soggiacenza statica,2.53,187.73,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
87,BS,PISOGNE,PO0171430RC548,2015-07-09,190.26,soggiacenza statica,2.77,187.49,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
88,BS,PISOGNE,PO0171430RC548,2015-08-20,190.26,soggiacenza statica,3.08,187.18,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
89,BS,PISOGNE,PO0171430RC548,2015-09-25,190.26,soggiacenza statica,2.85,187.41,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
90,BS,PISOGNE,PO0171430RC548,2015-10-22,190.26,soggiacenza statica,2.57,187.69,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
91,BS,PISOGNE,PO0171430RC548,2015-11-26,190.26,soggiacenza statica,2.75,187.51,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
92,BS,PISOGNE,PO0171430RC548,2015-12-17,190.26,soggiacenza statica,2.77,187.49,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
93,BS,PISOGNE,PO0171430RC548,2016-01-25,190.26,soggiacenza statica,2.78,187.48,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
94,BS,PISOGNE,PO0171430RC548,2016-02-23,190.26,soggiacenza statica,2.81,187.45,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
95,BS,PISOGNE,PO0171430RC548,2016-04-19,190.26,soggiacenza statica,2.71,187.55,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
96,BS,PISOGNE,PO0171430RC548,2016-06-03,190.26,soggiacenza statica,2.11,188.15,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
97,BS,PISOGNE,PO0171430RC548,2016-08-04,190.26,soggiacenza statica,3.17,187.09,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
98,BS,PISOGNE,PO0171430RC548,2017-02-14,190.26,soggiacenza statica,4.23,186.03,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
99,BS,PISOGNE,PO0171430RC548,2017-06-13,190.26,soggiacenza statica,4.2,186.06,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
100,BS,PISOGNE,PO0171430RC548,2017-10-30,190.26,soggiacenza statica,4.12,186.14,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
101,BS,PISOGNE,PO0171430RC548,2017-12-21,190.26,soggiacenza statica,4.07,186.19,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
102,BS,PISOGNE,PO0171430RC548,2018-01-25,190.26,soggiacenza statica,3.06,187.2,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
103,BS,PISOGNE,PO0171430RC548,2018-03-30,190.26,soggiacenza statica,2.72,187.54,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
104,BS,PISOGNE,PO0171430RC548,2018-05-30,190.26,soggiacenza statica,1.65,188.61,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
105,BS,PISOGNE,PO0171430RC548,2018-08-24,190.26,soggiacenza statica,2.61,187.65,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
106,BS,PISOGNE,PO0171430RC548,2018-09-28,190.26,soggiacenza statica,2.79,187.47,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
107,BS,PISOGNE,PO0171430RC548,2018-11-21,190.26,soggiacenza statica,2.2,188.06,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
108,BS,PISOGNE,PO0171430RC548,2018-12-17,190.26,soggiacenza statica,2.17,188.09,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
