PROV,COMUNE - DENOMINAZIONE,CODICE,LOCALITA',X,Y,Q,NOTE,STRAT.,FALDA,PUBBLICO,gen-01,feb-01,mar-01,apr-01,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02,ott-02,nov-02,dic-02
CR,CAPPELLA DE' PICENARDI,19014.0001,via Cavour,1596934,5001321,42,,X,3,,,,,,,,,,,,,,,,34.76,,,,,,,,,
CR,CASALETTO VAPRIO,19020.0001,via Don Gnocchi,1549003,5028336,86,,X,3,,,,,,,,,,,84.22,84.12,84.06,83.96,83.99,83.82,83.77,84.12,84.1,,,,,,
CR,CASALMAGGIORE 8,19021.0008,Vicomoscano,1613736.375,4981155.5,26,,X,2,,,,,,,,,,,20.21,20.37,20.43,,,20.53,,,,,,,,,
CR,CHIEVE,19029.0001,via Zaninelli,1548491.25,5021128.5,78,,X,3,,,,,,,,,,,70.74,70.72,70.54,,,70.33,,,,,,,,,
CR,CINGIA DE' BOTTI,19031.0003,via Pievetta,1600202,4993266.5,30,,X,3,,,,,,,,,,,27.02,26.77,26.78,,,26.69,,,,,,,,,
CR,FIESCO,19043.0003,via F. Noli,1561257.5,5020927,72,,X,3,,,,,,,,,,,61.83,61.77,61.63,61.54,61.71,61.52,61.42,61.57,61.52,,,,,,
CR,GRONTARDO,19050.0002,Fraz. Levata,1589592,5006001,47,,X,3,,,,,,,,,,,35.72,35.85,35.88,,,35.72,,,,,,,,,
CR,GUSSOLA,19052.0004,via Bergamonti,1606756,4984844,26,,X,2,,,,,,,,,,,21.74,21.76,21.72,,,22.07,,,,,,,,,
CR,ISOLA DOVARESE,19053.0002,via Fornace,1602524.875,5002716,38,,X,3,,,,,,,,,,,32.11,32.17,32.13,31.73,31.99,32.07,31.94,32.27,32.37,,,,,,
CR,IZANO,19054.0003,via Zanesa,1558392.375,5022772,77,,X,3,,,,,,,,,,,68.31,68.2,68.15,,,67.86,,,,,,,,,
CR,MADIGNANO,19055.0002,via Dante,1556531.875,5021341,72,,X,3,,,,,,,,,,,68.61,68.55,68.41,,,68.44,,,,,,,,,
CR,MALAGNINO,19056.0003,via Stazione,1587474.25,4998750,40,,X,2,,,,,,,,,,,30.42,30.37,30.27,,,30.14,,,,,,,,,
CR,OFFANENGO,19062.0005,via Dante,1557924.5,5025552,81,,X,1,,,,,,,,,,,75.98,76.14,75.59,,,75.65,,,,,,,,,
CR,PESCAROLO 3,19069.0003,Loc. Palestra,1593492,5005268.5,45,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,
CR,Pescarolo 4,,Loc. Palestra,1593527.875,5005190.5,45,,,,,,,,,,,,,,34.06,34.16,33.96,,,,,,,,,,,,
